Global Land and Ocean Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1880,-0.1191
1881,-0.0683
1882,-0.0703
1883,-0.1470
1884,-0.2113
1885,-0.2247
1886,-0.2138
1887,-0.2596
1888,-0.1620
1889,-0.1110
1890,-0.3309
1891,-0.2584
1892,-0.3138
1893,-0.3256
1894,-0.2852
1895,-0.2337
1896,-0.0998
1897,-0.1258
1898,-0.2610
1899,-0.1225
1900,-0.0740
1901,-0.1495
1902,-0.2578
1903,-0.3481
1904,-0.4269
1905,-0.2996
1906,-0.2226
1907,-0.3808
1908,-0.4477
1909,-0.4338
1910,-0.3869
1911,-0.4378
1912,-0.3330
1913,-0.3206
1914,-0.1438
1915,-0.0742
1916,-0.2975
1917,-0.3166
1918,-0.2096
1919,-0.2063
1920,-0.2135
1921,-0.1503
1922,-0.2323
1923,-0.2163
1924,-0.2501
1925,-0.1473
1926,-0.0628
1927,-0.1509
1928,-0.1747
1929,-0.2978
1930,-0.0977
1931,-0.0694
1932,-0.1197
1933,-0.2459
1934,-0.1075
1935,-0.1414
1936,-0.1147
1937,-0.0179
1938,-0.0284
1939,-0.0132
1940,0.0951
1941,0.1995
1942,0.1557
1943,0.1603
1944,0.2956
1945,0.1769
1946,-0.0011
1947,-0.0442
1948,-0.0456
1949,-0.0541
1950,-0.1574
1951,-0.0106
1952,0.0282
1953,0.0989
1954,-0.1135
1955,-0.1328
1956,-0.1961
1957,0.0522
1958,0.1131
1959,0.0646
1960,0.0243
1961,0.0803
1962,0.0922
1963,0.1089
1964,-0.1464
1965,-0.0755
1966,-0.0197
1967,-0.0103
1968,-0.0278
1969,0.0954
1970,0.0397
1971,-0.0765
1972,0.0299
1973,0.1654
1974,-0.0706
1975,0.0047
1976,-0.0780
1977,0.1983
1978,0.1134
1979,0.2287
1980,0.2665
1981,0.3038
1982,0.1841
1983,0.3438
1984,0.1513
1985,0.1362
1986,0.2307
1987,0.3713
1988,0.3769
1989,0.2985
1990,0.4342
1991,0.4053
1992,0.2569
1993,0.2857
1994,0.3406
1995,0.4578
1996,0.3221
1997,0.5169
1998,0.6321
1999,0.4433
2000,0.4255
2001,0.5459
2002,0.6026
2003,0.6139
2004,0.5792
2005,0.6599
2006,0.6122
2007,0.6094
2008,0.5396
2009,0.6336
2010,0.7004
2011,0.5758
2012,0.6204
2013,0.6666
2014,0.7397
2015,0.8978
