"Month","Well","Well.type","Copper.ppb"
"1","Well.1","Background",4.2
"2","Well.1","Background",5.8
"3","Well.1","Background",11.3
"4","Well.1","Background",7
"5","Well.1","Background",7
"6","Well.1","Background",8.2
"1","Well.2","Background",5.2
"2","Well.2","Background",6.4
"3","Well.2","Background",11.3
"4","Well.2","Background",11.5
"5","Well.2","Background",10.1
"6","Well.2","Background",9.7
"1","Well.3","Compliance",9.4
"2","Well.3","Compliance",10.1
"3","Well.3","Compliance",14.5
"4","Well.3","Compliance",16.1
"5","Well.3","Compliance",21.5
"6","Well.3","Compliance",17.6
