"","Temperature","Precipitation","IndustrialActivity","WaterpH","NitrateLevels","PhosphateLevels"
"1",31.166,7.35,"Medium",7.179,8.557,0.512
"2",32.168,2.718,"High",7.636,13.187,0.902
"3",2.876,16.571,"Low",7.6,7.605,4.13
"4",27.37,9.729,"Low",7.662,6.121,2.344
"5",18.879,9.21,"Medium",7.33,8.926,2.368
"6",13.359,24.239,"Low",7.419,7.344,3.466
"7",23.146,25.686,"Medium",7.397,13.224,3.008
"8",-3.94,15.921,"Medium",7.32,5.994,3.475
"9",19.565,3.064,"Low",7.598,5.967,0.476
"10",21.728,2.983,"Low",6.964,2.153,0.767
"11",10.598,12.683,"High",7.422,11.918,1.15
"12",22.36,15.216,"Low",7.029,9.315,1.22
"13",32.06,8.124,"Low",7.434,2.331,1.207
"14",1.494,1.296,"Low",7.805,3.745,2.712
"15",10.803,2.484,"Low",7.581,3.789,0.245
"16",32.301,4.448,"Low",7.316,4.332,1.672
"17",34.02,5.015,"Medium",7.361,9.294,3.085
"18",-4.713,0.016,"Low",7.253,3.822,0
"19",11.375,12.902,"Medium",6.898,9.83,2.548
"20",15.215,3.506,"Medium",7.637,11.282,0.166
"21",30.681,9.128,"Medium",7.71,9.424,2.889
"22",-3.758,6.295,"Low",7.443,6.639,2.116
"23",34.5,8.62,"High",7.215,11.846,1.803
"24",32.6,13.297,"High",7.334,12.842,1.561
"25",-6.29,25.341,"Low",7.22,3.303,0.434
"26",13.14,5.972,"High",7.301,15.832,0.414
"27",7.559,11.323,"High",7.317,12.348,0.727
"28",30.758,30.682,"Low",7.155,7.958,3.795
"29",10.114,30.874,"Medium",7.289,11.034,2.319
"30",27.62,2.588,"Medium",7.697,11.443,0.955
"31",23.192,3.05,"Low",7.024,4.415,0.441
"32",26.497,22.581,"Low",7.66,7.759,2.106
"33",7.465,17.033,"Medium",7.84,8.28,0
"34",20.833,4.798,"High",7.22,10.278,2.173
"35",-9.822,11.683,"Low",7.241,5.741,2.312
"36",27.481,8.869,"Medium",7.57,9.678,2.834
"37",-9.67,4.038,"High",7.444,13.113,1.002
"38",-0.655,1.996,"Low",7.739,7.076,1.933
"39",30.797,25.312,"Medium",7.347,10.78,1.057
"40",17.53,9.813,"High",7.14,12.973,2.233
"41",7.08,5.165,"Low",7.537,1.281,1.581
"42",9.61,27.5,"Medium",6.983,8.306,3.486
"43",-8.316,4.206,"High",7.431,11.29,2.233
"44",33.809,0.752,"Medium",7.458,8.608,0
"45",9.429,31.754,"High",7.001,18.042,3.063
"46",33.091,8.873,"High",7.689,15.449,3.356
"47",29.949,1.994,"High",7.482,9.237,0.554
"48",18.799,6.371,"Low",7.523,8.859,2.075
"49",33.693,26.448,"Low",7.649,6.397,2.466
"50",17.848,0.597,"Low",7.434,8.467,0.942
"51",5.004,3.638,"High",7.488,13.794,1.903
"52",5.604,17.265,"Low",7.278,2.546,2.843
"53",7.932,3.821,"Low",7.668,9.354,0.697
"54",25.311,22.89,"Medium",7.349,11.707,2.387
"55",-8.248,39.185,"Medium",7.01,7.533,3.709
"56",23.696,0.265,"High",7.687,10.165,0
"57",20.477,2.615,"High",7.256,10.502,2.589
"58",-2.293,13.682,"Low",7.402,7.045,0.763
"59",1.749,0.749,"High",7.111,15.047,2.976
"60",13.149,7.53,"Medium",7.564,7.676,1.463
"61",20.402,24.279,"High",7.269,12.676,1.637
"62",34.227,12.368,"Low",7.37,7.082,3.079
"63",24.179,21.806,"Medium",7.026,13.112,2.197
"64",15.492,16.09,"High",7.29,15.3,3.505
"65",28.236,7.3,"Medium",7.759,14.613,0.952
"66",-1.474,5.558,"High",7.635,14.628,0.756
"67",2.208,7.348,"High",7.594,14.048,1.149
