# Weekly water quality data (E. coli, total coliform, and Enterococcus bacterial counts) were downloaded from San Mateo County Health Department 
# for San Pedro Creek, collected weekly since 2012, usually on Monday but sometimes on Tuesday, 
# but with the date recorded in the variable SAMPLE_DATE
"","SAMPLE_DATE","Total_Coliform","Ecoli"
"1",2021-10-18,776,17329
"2",2021-10-12,185,3873
"3",2021-10-04,259,6488
"4",2021-09-27,269,24196
"5",2021-09-20,10,161
"6",2021-09-13,97,17329
"7",2021-09-07,75,1354
"8",2021-08-30,63,4611
"9",2021-08-23,256,8664
"10",2021-08-16,85,11199
"11",2021-08-09,158,9804
"12",2021-08-02,63,12997
"13",2021-07-26,41,6867
"14",2021-07-19,218,1071
"15",2021-07-12,41,4352
"16",2021-07-06,218,3076
"17",2021-06-28,30,5475
"18",2021-06-21,52,10462
"19",2021-06-14,169,3873
"20",2021-06-07,10,336
"21",2021-06-01,20,15531
"22",2021-05-24,10,6867
"23",2021-05-17,218,1607
"24",2021-05-10,379,8664
"25",2021-05-03,259,10462
"26",2021-04-12,72,2755
"27",2021-04-05,20,7270
"28",2021-03-29,10,19863
"29",2021-03-15,86,4106
"30",2021-03-01,10,3654
"31",2021-02-22,10,3076
"32",2021-02-08,20,5172
"33",2021-02-01,41,2247
"34",2021-01-25,1664,11199
"35",2021-01-19,20,5794
"36",2021-01-11,295,14136
"37",2021-01-04,134,17329
"38",2020-12-14,41,24196
"39",2020-12-07,175,9208
"40",2020-11-30,31,12997
"41",2020-11-23,98,10462
"42",2020-11-16,185,8664
"43",2020-11-09,657,2014
"44",2020-11-02,350,17329
"45",2020-10-26,52,7270
"46",2020-10-19,195,24196
"47",2020-10-13,74,17329
"48",2020-10-05,98,10462
"49",2020-09-28,108,15531
"50",2020-09-21,309,12033
"51",2020-09-14,120,24196
"52",2020-09-08,52,24196
"53",2020-08-31,259,24196
"54",2020-08-17,1259,8664
"55",2020-08-10,86,17329
"56",2020-08-03,97,24196
"57",2020-07-27,74,17329
"58",2020-07-20,10,24196
"59",2020-07-13,52,15531
"60",2020-07-06,52,19863
"61",2020-06-29,98,14136
"62",2020-06-22,231,2400
"63",2020-06-15,41,9804
"64",2020-06-08,355,2924
"65",2020-06-01,216,5475
"66",2020-03-16,1019,19863
"67",2020-03-09,1565,8164
"68",2020-03-02,146,2075
"69",2020-02-24,168,2723
"70",2020-02-18,63,2359
"71",2020-02-10,98,1421
"72",2020-02-03,185,1607
"73",2020-01-27,393,2098
"74",2020-01-21,650,5475
"75",2019-12-16,573,7701
"76",2019-12-09,548,6867
"77",2019-12-02,228,8664
"78",2019-11-25,393,1439
"79",2019-11-18,146,723
"80",2019-11-12,259,1785
"81",2019-11-04,262,1071
"82",2019-10-29,359,2282
"83",2019-10-21,122,1842
"84",2019-10-15,487,5172
"85",2019-10-07,960,2755
"86",2019-09-30,201,2723
"87",2019-09-23,448,7270
"88",2019-09-16,24196,24196
"89",2019-09-09,857,4884
"90",2019-09-03,1076,10462
"91",2019-08-26,1112,7270
"92",2019-08-19,789,17329
"93",2019-08-12,435,12033
"94",2019-08-05,1076,12033
"95",2019-07-29,882,7270
"96",2019-07-22,292,4569
"97",2019-07-16,135,6488
"98",2019-07-08,426,5475
"99",2019-07-01,441,2613
"100",2019-06-24,471,5794
"101",2019-06-17,238,4352
"102",2019-06-10,677,4352
"103",2019-06-03,199,2755
"104",2019-05-28,259,3654
"105",2019-05-20,426,9804
"106",2019-05-13,313,11199
"107",2019-05-06,161,1725
"108",2019-04-29,160,1872
"109",2019-04-22,216,4352
"110",2019-04-15,109,3873
"111",2019-04-08,211,5475
"112",2019-04-01,141,2382
"113",2019-03-25,373,4106
"114",2019-03-18,538,3255
"115",2019-03-11,495,5172
"116",2019-03-04,2098,24196
"117",2019-02-19,74,4106
"118",2019-02-04,1246,24196
"119",2019-01-28,275,3448
"120",2019-01-22,275,5475
"121",2019-01-14,199,6131
"122",2019-01-07,1050,15531
"123",2018-12-10,565,8164
"124",2018-12-03,443,11199
"125",2018-11-26,771,12997
"126",2018-11-13,663,3873
"127",2018-11-05,521,4884
"128",2018-10-29,609,9208
"129",2018-10-22,637,4352
"130",2018-10-15,581,12033
"131",2018-10-09,708,12033
"132",2018-10-01,933,7701
"133",2018-09-24,657,5794
"134",2018-09-17,2723,8164
"135",2018-09-04,860,4884
"136",2018-08-27,488,5794
"137",2018-08-20,862,7701
"138",2018-08-13,712,6131
"139",2018-07-30,426,6867
"140",2018-07-23,187,9208
"141",2018-07-16,243,5172
"142",2018-07-09,576,5794
"143",2018-07-02,336,4611
"144",2018-06-25,197,2359
"145",2018-06-18,1565,7270
"146",2018-06-11,231,4611
"147",2018-06-04,305,5475
"148",2018-05-29,323,4611
"149",2018-05-21,359,6488
"150",2018-05-14,435,6488
"151",2018-05-07,122,3873
"152",2018-04-30,259,7701
"153",2018-04-23,313,6488
"154",2018-04-16,480,4611
"155",2018-04-09,272,8664
"156",2018-04-02,218,5794
"157",2018-03-26,161,5172
"158",2018-03-19,120,2755
"159",2018-03-12,120,4106
"160",2018-03-05,246,7270
"161",2018-02-26,6131,24196
"162",2018-02-20,109,1106
"163",2018-02-12,393,2187
"164",2018-02-05,98,3654
"165",2018-01-29,228,3873
"166",2018-01-22,2489,24196
"167",2018-01-16,389,5794
"168",2018-01-08,146,5172
"169",2018-01-02,350,2481
"170",2017-12-18,435,4884
"171",2017-12-11,1081,6867
"172",2017-12-04,158,1829
"173",2017-11-27,6131,24196
"174",2017-11-20,905,14136
"175",2017-11-13,1145,15531
"176",2017-11-06,1607,8164
"177",2017-10-30,1010,7701
"178",2017-10-23,2064,19863
"179",2017-10-16,2359,8164
"180",2017-10-10,1095,7270
"181",2017-10-02,546,10462
"182",2017-09-25,703,9804
"183",2017-09-18,2481,9208
"184",2017-09-11,839,6867
"185",2017-09-05,857,8664
"186",2017-08-28,862,8664
"187",2017-08-21,1989,24196
"188",2017-08-14,794,7270
"189",2017-08-07,393,6131
"190",2017-07-31,309,6488
"191",2017-07-24,295,9208
"192",2017-07-17,364,6131
"193",2017-07-10,364,7270
"194",2017-07-03,767,4106
"195",2017-06-26,776,8164
"196",2017-06-19,211,12997
"197",2017-06-12,279,4884
"198",2017-06-05,426,3968
"199",2017-05-30,246,11199
"200",2017-05-22,717,5172
"201",2017-05-15,480,8164
"202",2017-05-08,259,6131
"203",2017-05-01,203,4106
"204",2017-04-24,189,7270
"205",2017-04-17,471,24196
"206",2017-04-10,160,12997
"207",2017-04-03,63,8664
"208",2017-03-27,201,5493
"209",2017-03-20,691,7270
"210",2017-03-13,110,2247
"211",2017-03-06,9208,24196
"212",2017-02-27,63,3448
"213",2017-02-21,2282,24196
"214",2017-02-13,201,8664
"215",2017-02-06,1046,19863
"216",2017-01-30,41,4884
"217",2017-01-17,158,2851
"218",2017-01-09,417,24196
"219",2017-01-03,1935,24196
"220",2016-12-19,121,4106
"221",2016-12-12,393,8664
"222",2016-12-05,862,7270
"223",2016-11-28,2613,12997
"224",2016-11-21,4611,24196
"225",2016-11-14,565,14136
"226",2016-11-07,798,12033
"227",2016-10-31,2400,24196
"228",2016-10-24,1043,14136
"229",2016-10-17,12997,24196
"230",2016-10-11,529,7701
"231",2016-10-03,160,4611
"232",2016-09-26,218,3076
"233",2016-09-19,10,1500
"234",2016-09-12,173,3873
"235",2016-09-06,638,4106
"236",2016-08-29,414,8164
"237",2016-08-15,288,4786
"238",2016-08-08,259,5493
"239",2016-08-01,432,7270
"240",2016-07-25,408,2035
"241",2016-07-18,408,4352
"242",2016-07-11,521,4884
"243",2016-07-05,480,6488
"244",2016-06-27,644,5493
"245",2016-06-20,420,8664
"246",2016-06-13,228,3448
"247",2016-06-06,160,4352
"248",2016-05-31,379,3255
"249",2016-05-23,259,4611
"250",2016-05-16,594,6488
"251",2016-05-09,1872,8664
"252",2016-05-02,1050,8664
"253",2016-04-25,738,12997
"254",2016-04-18,201,7701
"255",2016-04-11,481,19863
"256",2016-04-04,213,7701
"257",2016-03-28,233,9804
"258",2016-03-21,213,17329
"259",2016-03-14,2143,24196
"260",2016-03-07,6131,24196
"261",2016-02-29,288,5794
"262",2016-02-22,581,9804
"263",2016-02-16,435,3873
"264",2016-02-08,546,4884
"265",2016-02-01,199,5794
"266",2016-01-25,231,2400
"267",2016-01-19,8664,24196
"268",2016-01-11,389,5172
"269",2016-01-04,216,1291
"270",2015-12-28,1515,6867
"271",2015-12-21,4611,24196
"272",2015-12-14,4611,24196
"273",2015-12-07,4352,24196
"274",2015-11-30,576,5475
"275",2015-11-23,504,5475
"276",2015-11-16,6488,24196
"277",2015-11-09,5172,24196
"278",2015-11-02,24196,24196
"279",2015-10-26,24196,24196
"280",2015-10-19,1725,11199
"281",2015-10-13,538,7270
"282",2015-10-05,496,8164
"283",2015-09-28,959,5794
"284",2015-09-21,86,8664
"285",2015-09-14,393,7270
