"Year" "degrees"
"1" 1902 1.63
"2" 1903 1.27
"3" 1904 0.83
"4" 1905 0.7
"5" 1906 1.37
"6" 1907 -0.87
"7" 1908 0.57
"8" 1909 -0.63
"9" 1910 2.7
"10" 1911 0.83
"11" 1912 3.57
"12" 1913 2.23
"13" 1914 0.57
"14" 1915 2.7
"15" 1916 4.63
"16" 1917 0.03
"17" 1918 -0.13
"18" 1919 2.2
"19" 1920 3.33
"20" 1921 2.57
"21" 1922 0.77
"22" 1923 2.8
"23" 1924 0
"24" 1925 2.5
"25" 1926 3.33
"26" 1927 1.37
"27" 1928 2.4
"28" 1929 -2.53
"29" 1930 3.2
"30" 1931 1.27
"31" 1932 -0.3
"32" 1933 0.73
"33" 1934 -0.8
"34" 1935 2.9
"35" 1936 2.8
"36" 1937 3.43
"37" 1938 1.7
"38" 1939 1.57
"39" 1940 -1.7
"40" 1941 -1.33
"41" 1942 -2.43
"42" 1943 2.57
"43" 1944 1.33
"44" 1945 0.5
"45" 1946 2.07
"46" 1947 -1.57
"47" 1948 3.57
"48" 1949 1.6
"49" 1950 3.4
"50" 1951 1.87
"51" 1952 0.97
"52" 1953 0.2
"53" 1954 0.37
"54" 1955 2.53
"55" 1956 -0.4
"56" 1957 2.57
"57" 1958 2.5
"58" 1959 2.23
"59" 1960 2.57
"60" 1961 3.2
"61" 1962 2.2
"62" 1963 -3.83
"63" 1964 0.17
"64" 1965 0.87
"65" 1966 3.37
"66" 1967 3.1
"67" 1968 1.03
"68" 1969 0.9
"69" 1970 0.17
"70" 1971 0.27
"71" 1972 2.23
"72" 1973 0.3
"73" 1974 3.43
"74" 1975 4.43
"75" 1976 1.83
"76" 1977 2.7
"77" 1978 1.83
"78" 1979 1.07
"79" 1980 3.13
"80" 1981 0.17
"81" 1982 1.5
"82" 1983 2.83
"83" 1984 1.9
"84" 1985 -0.73
"85" 1986 0.43
"86" 1987 0.43
"87" 1988 3.9
"88" 1989 3.43
"89" 1990 4.37
"90" 1991 1.23
"91" 1992 1.3
"92" 1993 2.43
"93" 1994 4.2
"94" 1995 4.37
"95" 1996 0.93
"96" 1997 1.43
"97" 1998 3.87
"98" 1999 2.23
"99" 2000 3.5
"100" 2001 4.23
"101" 2002 3.07
"102" 2003 2.17
"103" 2004 2.57
"104" 2005 1.23
"105" 2006 0.13
"106" 2007 5.3
"107" 2008 3.73
"108" 2009 0.97
"109" 2010 1.37
"110" 2011 2.03
