"ID","XCOO","YCOO","ELEV","COUN","ASP","TOPC","LITO","Ag","Ag_INAA","Al","Al_XRF","Al2O3","As","As_INAA","Au","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br_IC","Br_INAA","Ca","Ca_INAA","Ca_XRF","CaO","Cd","Ce_INAA","Cl_IC","Co","Co_INAA","Cr","Cr_INAA","Cs_INAA","Cu","EC","Eu_INAA","F_IC","Fe","Fe_INAA","Fe_XRF","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K_XRF","K2O","La","La_INAA","Li","LOI","Lu_INAA","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Mo_INAA","Na","Na_INAA","Na_XRF","Na2O","Nd_INAA","Ni","Ni_INAA","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","Si_XRF","SiO2","Sm_INAA","Sn_INAA","SO4_IC","Sr","Sr_INAA","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","Ti_XRF","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA"
1,547960,7690000,135,"FIN","NW",35,20,0.01,2.5,10200,75100,14.19,0.3,0.25,1.344,0.001,1.5,40.6,380,0.28,0.061,0.001,6.2,2280,40000,25100,3.52,0.025,41,0.001,8.8,18,20.1,75,0.5,41.6,0.19,0.9,0.0005,15000,43000,34700,4.97,4,0.02,0.5,0.0025,1300,16200,1.96,8.5,15,12.4,1.72,0.3,4560,11400,1.9,170,540,0.07,0.4,0.5,140,31000,27600,3.73,14,16.6,10,0.0005,324,340,0.08,5.7,1.84336,5.8,0.002,0.83232,55,52,0.013,0.05,2.4,17,0.059,1.5,140,308500,66.01,2.6,50,2,6.3,250,0.25,0.25,0.008,7,4.4,949,2870,0.48,1.8,31.7,0.5,3.9,2.1,38.7,81
2,770025,7680000,140,"RUS","SW",52,4,0.01,2.5,3540,74400,14.06,0.2,0.25,0.44372,0.001,1.5,24.2,440,0.09,0.015,0.001,3.3,1720,40000,24000,3.36,0.01,44,0.001,3.3,8,16.9,68,0.5,8,0.14,1,0.0005,8530,24200,22900,3.28,6,0.01,0.5,0.0025,600,10700,1.29,9.2,23,3,0.49,0.19,1560,7200,1.21,59.3,380,0.05,0.1,0.5,140,35800,29300,3.96,16,10.4,10,0.0005,428,430,0.1,1,0.1,5.8,0.002,0.5907,30,11,0.005,0.05,1.1,10,0.005,1.5,110,332400,71.12,3,50,2,6.6,250,0.25,0.25,0.0015,5,5.5,351,1970,0.33,0.25,20.7,0.5,2.7,1.3,7.9,25
3,498651,7670000,255,"FIN","N",52,31,0.021,2.5,16100,80600,15.24,0.4,0.25,1.60729,0.002,1.5,170,720,0.51,0.011,0.001,0.25,2240,20000,18100,2.54,0.033,100,0.001,9.1,13,38,100,0.5,23,0.21,1.7,0.0005,18200,48400,43400,6.21,7,0.02,0.5,0.0025,3000,17200,2.08,19.7,52,6.5,1.69,0.51,5780,13800,2.29,102,540,0.07,0.1,0.5,300,18300,15500,2.09,36,26.1,10,0.0005,631,690,0.16,1.6,1.07396,6.1,0.002,1.0487,57,38,0.013,0.05,3.4,19,0.05,1.5,180,303900,65.03,6.8,50,3,15,250,0.25,0.25,0.022,9,13,1270,3770,0.63,2.3,55.7,0.5,5.5,3.3,32.8,25
4,795152,7570000,240,"RUS","NE",40,20,0.022,2.5,12000,79300,15,0.3,1.9,0.71298,0.001,1.5,52.5,400,0.14,0.014,0.001,6,3300,40000,33400,4.68,0.038,37,0.001,7.8,20,31.2,250,0.5,23.7,0.16,0.8,0.0005,10500,39300,38400,5.5,5,0.01,0.5,0.0025,1400,11200,1.35,9.4,18,6.2,1.52,0.26,4170,19600,3.26,102,690,0.09,0.1,0.5,510,26200,23700,3.2,16,32.6,10,0.0005,359,390,0.09,1,2.05724,6.1,0.002,1.01001,54,26,0.005,0.3,2.1,17,0.024,1.5,190,298200,63.81,2.8,50,4,12.3,250,0.25,0.25,0.0015,4,4.4,716,3230,0.54,0.25,29.2,0.5,2.8,1.7,17.8,77
5,437050,7860000,80,"NOR","N",50,10,0.023,2.5,9850,72800,13.76,2.2,0.25,0.89791,0.007,1.5,30.3,660,0.33,0.234,0.001,27,1120,5000,7200,1.01,0.02,200,0.003,10.5,12,9.9,37,4,23.9,0.3,2,0.0005,20900,53100,51500,7.37,13,0.03,0.5,0.0025,2800,21900,2.64,42,64,11.3,3.16,2.38,3280,5100,0.86,146,1310,0.17,1.1,0.5,40,11600,9200,1.25,50,13.9,10,0.0005,580,610,0.14,8.9,0.47549,5.9,0.002,0.25,130,51,0.108,0.05,1.8,21,0.28,1.5,110,320000,68.48,9.7,50,4,3.7,250,0.8,1.5,0.015,25,22,754,4250,0.71,5.2,14.1,0.5,18.7,16.3,52.8,104
6,752106,7630000,140,"RUS","E",42,20,0.007,2.5,5120,74100,14,0.2,0.25,0.86038,0.006,1.5,28.5,480,0.12,0.011,0.001,4,1710,20000,26000,3.64,0.015,36,0.001,6.1,13,23.8,110,0.5,16,0.15,0.8,0.0005,11200,28200,28700,4.11,5,0.01,0.5,0.0025,1000,10800,1.31,7.9,20,4.6,0.78,0.23,3460,11600,1.93,82,540,0.07,0.1,0.5,140,31300,27100,3.66,17,31,10,0.0005,447,430,0.1,0.7,0.48968,5.9,0.002,0.67004,26,23,0.005,0.05,1.5,11,0.03,1.5,160,323200,69.16,2.8,50,5,5.2,250,0.25,0.7,0.0015,4,4.3,471,2330,0.39,0.25,29.1,0.5,2.9,1.4,12.5,25
7,531687,7630000,195,"FIN","E",34,31,0.027,2.5,13900,73500,13.89,0.9,0.25,2.53343,0.001,1.5,71.6,510,0.42,0.023,0.001,0.25,1190,20000,16700,2.34,0.04,55,0.003,8.4,17,33.9,130,0.5,16.3,0.32,1.1,0.0005,16000,44700,41900,6,6,0.02,0.5,0.0025,1300,16500,1.99,12,30,5.3,2.39,0.53,3420,13500,2.24,155,610,0.08,0.3,0.5,130,18600,15000,2.03,20,22.5,10,0.0005,268,300,0.07,1.7,0.68432,5.9,0.002,1.24212,43,32,0.014,0.3,2.6,19,0.097,1.5,130,316100,67.63,4.2,50,9,6.1,250,0.25,0.25,0.01,7,8.8,758,3830,0.64,2,36.6,0.5,3.4,2.6,24.7,25
9,752013,7690000,120,"RUS","FLAT",17,4,0.012,2.5,14600,79000,14.94,1.4,0.25,1.59384,0.001,1.5,70.4,610,0.28,0.069,0.001,14,2810,20000,22700,3.18,0.031,64,0.002,8.7,12,40.8,96,0.5,36,0.39,1.3,0.0005,17200,31500,31100,4.46,8,0.02,0.5,0.0025,1900,14600,1.76,18,29,14.7,2.91,0.3,5100,10700,1.78,159,540,0.07,0.1,0.5,270,29700,27500,3.72,27,29.2,10,0.0005,552,610,0.14,1.9,0.89232,5.3,0.002,0.65736,53,83,0.005,0.05,3.2,13,0.056,1.5,130,305600,65.4,4.6,50,19,11.8,600,0.25,0.25,0.006,8,8.8,1020,3470,0.58,0.25,37,0.5,5.5,1.7,28.7,25
10,688999,7610000,90,"RUS","FLAT",38,1,0.004,2.5,7800,79300,14.99,0.2,0.25,0.41892,0.001,1.5,51.1,530,0.13,0.0025,0.001,5.5,4590,60000,43800,6.14,0.019,47,0.001,6.2,25,40.9,300,0.5,17.7,0.14,1.5,0.0005,13300,67400,56500,8.09,11,0.01,0.5,0.0025,1200,8500,1.03,12.5,25,3.1,0.76,0.69,3290,23200,3.86,115,920,0.12,0.1,0.5,490,27800,23100,3.12,18,22.2,10,0.0005,861,740,0.17,0.8,0.57625,5.6,0.002,0.75509,7.5,20,0.005,0.05,2.1,28,0.011,1.5,180,282800,60.51,5,50,1,12.5,250,0.25,1,0.008,5,4,770,5510,0.92,2.3,37.4,0.5,5.3,4.1,13.2,25
11,489804,7650000,180,"FIN","SE",26,31,0.013,2.5,9510,77500,14.65,0.3,0.25,1.52143,0.001,3,48.1,600,0.3,0.013,0.001,0.25,2670,30000,24200,3.4,0.026,63,0.001,5.4,13,24.4,120,0.5,12.8,0.16,1.4,0.0005,10500,46900,43300,6.2,6,0.01,0.5,0.0025,900,13800,1.67,13,33,3.6,0.82,0.56,2910,15300,2.54,82.1,610,0.08,0.1,0.5,440,22900,19800,2.68,22,14.8,10,0.0005,325,390,0.09,1.2,0.42511,5.7,0.002,0.70467,49,18,0.005,0.05,2.3,21,0.017,1.5,270,315000,67.41,4.7,50,4,11.2,600,0.25,0.25,0.008,6,7.4,555,3530,0.59,0.25,28.4,0.5,4.1,3.5,16.3,25
