row.names,TcCB.orig,TcCB,Censored,Area
1,  0.22,  0.22,F,Reference
2,  0.23,  0.23,F,Reference
3,  0.26,  0.26,F,Reference
4,  0.27,  0.27,F,Reference
5,  0.28,  0.28,F,Reference
6,  0.28,  0.28,F,Reference
7,  0.29,  0.29,F,Reference
8,  0.33,  0.33,F,Reference
9,  0.34,  0.34,F,Reference
10,  0.35,  0.35,F,Reference
11,  0.38,  0.38,F,Reference
12,  0.39,  0.39,F,Reference
13,  0.39,  0.39,F,Reference
14,  0.42,  0.42,F,Reference
15,  0.42,  0.42,F,Reference
16,  0.43,  0.43,F,Reference
17,  0.45,  0.45,F,Reference
18,  0.46,  0.46,F,Reference
19,  0.48,  0.48,F,Reference
20,  0.50,  0.50,F,Reference
21,  0.50,  0.50,F,Reference
22,  0.51,  0.51,F,Reference
23,  0.52,  0.52,F,Reference
24,  0.54,  0.54,F,Reference
25,  0.56,  0.56,F,Reference
26,  0.56,  0.56,F,Reference
27,  0.57,  0.57,F,Reference
28,  0.57,  0.57,F,Reference
29,  0.60,  0.60,F,Reference
30,  0.62,  0.62,F,Reference
31,  0.63,  0.63,F,Reference
32,  0.67,  0.67,F,Reference
33,  0.69,  0.69,F,Reference
34,  0.72,  0.72,F,Reference
35,  0.74,  0.74,F,Reference
36,  0.76,  0.76,F,Reference
37,  0.79,  0.79,F,Reference
38,  0.81,  0.81,F,Reference
39,  0.82,  0.82,F,Reference
40,  0.84,  0.84,F,Reference
41,  0.89,  0.89,F,Reference
42,  1.11,  1.11,F,Reference
43,  1.13,  1.13,F,Reference
44,  1.14,  1.14,F,Reference
45,  1.14,  1.14,F,Reference
46,  1.20,  1.20,F,Reference
47,  1.33,  1.33,F,Reference
48, <0.09,  0.09,T,Cleanup
49,  0.09,  0.09,F,Cleanup
50,  0.09,  0.09,F,Cleanup
51,  0.12,  0.12,F,Cleanup
52,  0.12,  0.12,F,Cleanup
53,  0.14,  0.14,F,Cleanup
54,  0.16,  0.16,F,Cleanup
55,  0.17,  0.17,F,Cleanup
56,  0.17,  0.17,F,Cleanup
57,  0.17,  0.17,F,Cleanup
58,  0.18,  0.18,F,Cleanup
59,  0.19,  0.19,F,Cleanup
60,  0.20,  0.20,F,Cleanup
61,  0.20,  0.20,F,Cleanup
62,  0.21,  0.21,F,Cleanup
63,  0.21,  0.21,F,Cleanup
64,  0.22,  0.22,F,Cleanup
65,  0.22,  0.22,F,Cleanup
66,  0.22,  0.22,F,Cleanup
67,  0.23,  0.23,F,Cleanup
68,  0.24,  0.24,F,Cleanup
69,  0.25,  0.25,F,Cleanup
70,  0.25,  0.25,F,Cleanup
71,  0.25,  0.25,F,Cleanup
72,  0.25,  0.25,F,Cleanup
73,  0.26,  0.26,F,Cleanup
74,  0.28,  0.28,F,Cleanup
75,  0.28,  0.28,F,Cleanup
76,  0.29,  0.29,F,Cleanup
77,  0.31,  0.31,F,Cleanup
78,  0.33,  0.33,F,Cleanup
79,  0.33,  0.33,F,Cleanup
80,  0.33,  0.33,F,Cleanup
81,  0.34,  0.34,F,Cleanup
82,  0.37,  0.37,F,Cleanup
83,  0.38,  0.38,F,Cleanup
84,  0.39,  0.39,F,Cleanup
85,  0.40,  0.40,F,Cleanup
86,  0.43,  0.43,F,Cleanup
87,  0.43,  0.43,F,Cleanup
88,  0.47,  0.47,F,Cleanup
89,  0.48,  0.48,F,Cleanup
90,  0.48,  0.48,F,Cleanup
91,  0.49,  0.49,F,Cleanup
92,  0.51,  0.51,F,Cleanup
93,  0.51,  0.51,F,Cleanup
94,  0.54,  0.54,F,Cleanup
95,  0.60,  0.60,F,Cleanup
96,  0.61,  0.61,F,Cleanup
97,  0.62,  0.62,F,Cleanup
98,  0.75,  0.75,F,Cleanup
99,  0.82,  0.82,F,Cleanup
100,  0.85,  0.85,F,Cleanup
101,  0.92,  0.92,F,Cleanup
102,  0.94,  0.94,F,Cleanup
103,  1.05,  1.05,F,Cleanup
104,  1.10,  1.10,F,Cleanup
105,  1.10,  1.10,F,Cleanup
106,  1.19,  1.19,F,Cleanup
107,  1.22,  1.22,F,Cleanup
108,  1.33,  1.33,F,Cleanup
109,  1.39,  1.39,F,Cleanup
110,  1.39,  1.39,F,Cleanup
111,  1.52,  1.52,F,Cleanup
112,  1.53,  1.53,F,Cleanup
113,  1.73,  1.73,F,Cleanup
114,  2.35,  2.35,F,Cleanup
115,  2.46,  2.46,F,Cleanup
116,  2.59,  2.59,F,Cleanup
117,  2.61,  2.61,F,Cleanup
118,  3.06,  3.06,F,Cleanup
119,  3.29,  3.29,F,Cleanup
120,  5.56,  5.56,F,Cleanup
121,  6.61,  6.61,F,Cleanup
122, 18.40, 18.40,F,Cleanup
123, 51.97, 51.97,F,Cleanup
124,168.64,168.64,F,Cleanup
