"Year","Month","SOI","Recruit"
1950,1,0.377,68.63
1950,2,0.246,68.63
1950,3,0.311,68.63
1950,4,0.104,68.63
1950,5,-0.016,68.63
1950,6,0.235,68.63
1950,7,0.137,59.16
1950,8,0.191,48.7
1950,9,-0.016,47.54
1950,10,0.29,50.91
1950,11,0.038,44.7
1950,12,-0.016,42.85
1951,1,-0.158,39.62
1951,2,0.366,44.45
1951,3,0.607,38.98
1951,4,-0.355,42.62
1951,5,-0.18,48.27
1951,6,0.268,59.39
1951,7,0.093,51.66
1951,8,0.027,38.55
1951,9,0.246,60.33
1951,10,0.202,72.27
1951,11,0.432,68.62
1951,12,0.617,69.63
1952,1,0.76,72.2
1952,2,0.891,67.87
1952,3,0.607,64.91001
1952,4,0.574,53.85
1952,5,0.005,37.96
1952,6,0.475,23.23
1952,7,0.202,12.68
1952,8,-0.027,9.84
1952,9,-0.038,7.82
1952,10,0.716,11.78
1952,11,0.836,10.22
1952,12,0.891,12.19
1953,1,0.53,18.6
1953,2,0.53,26.97
1953,3,0.377,22.52
1953,4,-0.235,19.18
1953,5,-0.585,17.14
1953,6,-0.18,18.61
1953,7,-0.53,20.02
1953,8,-0.464,22.65
1953,9,-0.443,38.99
1953,10,0.049,76.55
1953,11,0.454,87.99
1953,12,0.257,99.8
1954,1,0.41,96.69
1954,2,0.224,87.45
1954,3,0.148,88.57
1954,4,-0.432,97.43
1954,5,-0.093,99.99
1954,6,-0.268,94.88
1954,7,0.158,86.99
1954,8,-0.06,79.73001
1954,9,-0.399,92.35
1954,10,0.235,91.29
1954,11,0.366,94.31
1954,12,0.202,84.95
1955,1,0.344,82.97
1955,2,-0.038,92.98001
1955,3,0.29,81.06
1955,4,-0.126,62.37
1955,5,-0.366,52.99
1955,6,-0.115,39.53
1955,7,-0.301,42.9
1955,8,-0.486,33.76
1955,9,-0.137,40.97
1955,10,0.738,60.5
1955,11,0.366,66.61
1955,12,0.366,80.38
1956,1,0.65,95.86
1956,2,0.628,97.74
1956,3,0.126,80.24
1956,4,0.169,73.44
1956,5,0.137,65.67
1956,6,-0.257,47.81
1956,7,0.169,33.51
1956,8,-0.093,34.22
1956,9,0.475,32.95
1956,10,0.639,32.55
1956,11,0.596,46.92
1956,12,0.749,44.64
1957,1,0.191,53.02
1957,2,1,41.98
1957,3,0.486,30.43
1957,4,0.41,24.43
1957,5,0.158,18.05
1957,6,0.126,20.98
1957,7,0.06,12.37
1957,8,0.246,12.03
1957,9,0.738,12.41
1957,10,0.803,15.89
1957,11,0.421,20.46
1957,12,0.617,26.95
1958,1,0.705,30.29
1958,2,0.639,26.21
1958,3,0.454,23.34
1958,4,0.311,25.55
1958,5,0.355,25.4
1958,6,-0.158,24.16
1958,7,-0.038,23.34
1958,8,0.115,24.38
1958,9,0.137,27.2
1958,10,0.257,29.18
1958,11,0.115,43.3
1958,12,0.038,53.92
1959,1,0.082,59.76
1959,2,0.148,64.52
1959,3,0.06,65.84
1959,4,-0.191,70.19
1959,5,-0.607,75.27
1959,6,-0.585,77.63
1959,7,-0.268,76.96
1959,8,-0.093,77.7
1959,9,-0.093,85.13
1959,10,0.257,99.33999
1959,11,-0.005,97.7
1959,12,0.224,97.01999
1960,1,0.169,98.83
1960,2,0.432,99.8
1960,3,0.202,96.74
1960,4,-0.366,93.54
1960,5,-0.661,82.08
1960,6,0.093,71.51
1960,7,-0.716,49.61
1960,8,0.148,41.76
1960,9,-0.093,59.78
1960,10,0.279,90.97
1960,11,0.432,85.26
1960,12,-0.104,100
1961,1,0.607,98.5
1961,2,0.18,98.7
1961,3,0.071,93.1
1961,4,0.246,79.37
1961,5,-0.432,81.97
1961,6,0.06,55.94
1961,7,-0.388,50.39
1961,8,0.202,48.64
1961,9,-0.104,40.12
1961,10,0.191,63.04
1961,11,0.475,60.51
1961,12,0.552,78.72
1962,1,0.169,71.37
1962,2,0.333,76.43
1962,3,-0.005,71.25
1962,4,-0.038,56.46
1962,5,-0.126,41.84
1962,6,-0.443,41.24
1962,7,-0.016,35.28
1962,8,0.027,39.86
1962,9,0.333,45.13
1962,10,0.355,53.8
1962,11,0.344,77.54
1962,12,0.115,80.02
1963,1,0.311,81.28
1963,2,0.596,73.58
1963,3,0.005,66.06
1963,4,0.388,59.46
1963,5,-0.5080001,59.49
1963,6,-0.552,51.9
1963,7,-0.858,35.21
1963,8,-0.596,39.65
1963,9,0.06,31.9
1963,10,0.071,61.56
1963,11,0.224,88.25
1963,12,0.279,96.46
1964,1,0.322,83.94
1964,2,0.18,89.05
1964,3,0.126,92.97
1964,4,0.082,98.29
1964,5,0.126,99.79
1964,6,-0.213,94.01
1964,7,-0.235,87.06
1964,8,0.169,80.46
1964,9,0.388,74.86
1964,10,0.519,67.18
1964,11,0.126,73.85
1964,12,0.41,80.15
1965,1,0.738,69.45
1965,2,0.443,50.39
1965,3,0.596,31.68
1965,4,-0.137,31.25
1965,5,-0.486,23.11
1965,6,-0.377,11.32
1965,7,0.268,8.96
1965,8,-0.169,6.03
1965,9,-0.213,11.7
1965,10,-0.191,34.63
1965,11,0.377,58.31
1965,12,0.126,58.66
1966,1,0.311,72.62
1966,2,0.388,85.76
1966,3,0.388,94.29
1966,4,0.18,92.76999
