"year" "DJF"
1912 14.76
1913 12.84
1914 12.26
1915 38.5
1916 22.03
1917 19.45
1918 17.64
1919 20.09
1920 35.4
1921 4.16
1922 21.1
1923 16.6
1924 26.6
1925 5.08
1926 18.3
1927 14.3
1928 26
1929 15
1930 12.4
1931 20
1932 13.5
1933 4.05
1934 9.98
1935 18.5
1936 20.6
1937 23.2
1938 9.53
1939 14.5
1940 16.2
1941 17.2
1942 2.7
1943 10.6
1944 6.07
1945 22.5
1946 12.4
1947 12.5
1948 23.8
1949 6.08
1950 11.9
1951 10.8
1952 17.3
1953 15.6
1954 12.6
1955 26
1956 12.6
1957 24.5
1958 19.2
1959 12.3
1960 12.3
1961 13.4
1962 23.6
1963 6.86
1964 2.97
1965 10.5
1966 18.1
1967 12.9
1968 16.9
1969 6.66
1970 22.2
1971 8.64
1972 5.86
1973 5.94
1974 11.9
1975 13.1
1976 6.13
1977 24.2
1978 14.7
1979 16.8
1980 21.7
1981 18
1982 28.5
1983 24.5
1984 18.7
1985 10.6
1986 12.9
1987 27.3
1988 9.05
1989 15.7
1990 30.7
1991 14.5
1992 37.5
1993 12.1
1994 14.4
1995 24.9
1996 29.9
1997 9.18
1998 15.6
1999 28.9
2000 17.1
2001 15.4
2002 12.9
2003 13.6
2004 19.942
2005 15.111
