"Neighbor" "Species"
"Red" "Red"
"Black" "Black"
"Black" "Black"
"White" "Black"
"Black" "Red"
"Red" "White"
"Red" "White"
"White" "Red"
"Black" "White"
"Red" "Red"
"Red" "Black"
"Red" "Red"
"Red" "Black"
"Red" "Red"
"White" "White"
"Black" "White"
"White" "White"
"Black" "Black"
"Red" "Red"
"White" "Red"
"White" "White"
"White" "Red"
"White" "White"
"Red" "White"
"White" "White"
"Red" "Red"
"Red" "Red"
"Red" "Red"
"Red" "Red"
"Black" "Red"
"White" "White"
"White" "White"
"Red" "White"
"Red" "White"
"Red" "Red"
"Black" "White"
"Red" "White"
"White" "White"
"White" "White"
"White" "Red"
"Red" "Red"
"Red" "Red"
"White" "White"
"White" "Red"
"White" "White"
"White" "White"
"Red" "Red"
"Red" "White"
"Red" "Red"
"Red" "White"
"Red" "Red"
"White" "White"
"White" "White"
"White" "White"
"Red" "Red"
"White" "Red"
"Red" "Red"
"White" "White"
"White" "Red"
"White" "White"
"White" "Red"
"Red" "Red"
"White" "White"
"Red" "White"
"White" "Red"
"White" "Red"
"White" "White"
"Black" "Red"
"Red" "Red"
"White" "White"
"Red" "Red"
"Black" "Red"
"White" "White"
"Red" "Red"
"Red" "White"
"White" "White"
"Red" "White"
"White" "White"
"White" "Black"
"White" "White"
"Black" "Black"
"White" "Black"
"Red" "Red"
"White" "White"
"White" "White"
"Red" "Red"
"White" "White"
"White" "Red"
"Red" "Black"
"Red" "White"
"Red" "White"
"White" "Red"
"Red" "Red"
"Red" "Red"
"Red" "Red"
"Black" "White"
"Black" "White"
"Red" "White"
"Red" "Red"
"Black" "Black"
"Red" "Red"
"White" "White"
"White" "White"
"White" "White"
"Red" "White"
"Red" "Red"
"Red" "Red"
"White" "White"
"Red" "Black"
"White" "White"
"White" "White"
"Red" "Red"
"Black" "White"
"White" "Red"
"Black" "White"
"Red" "Red"
"White" "White"
"Black" "Black"
"White" "White"
"White" "Red"
"Red" "Red"
"Red" "White"
"White" "Red"
"White" "Black"
"White" "Red"
"Red" "Red"
"Red" "Red"
"Red" "White"
"Red" "Red"
"Red" "White"
"White" "White"
"Black" "White"
"White" "Black"
"Red" "Black"
"White" "Red"
"Black" "White"
"Red" "Red"
"White" "Red"
"Red" "White"
"White" "White"
"Red" "Red"
"Black" "White"
"White" "Red"
"Red" "Red"
"Red" "Red"
"White" "White"
"Red" "Red"
"White" "Red"
"Red" "Red"
"Black" "White"
"Red" "White"
"White" "Red"
"Red" "Red"
"Black" "Red"
"White" "White"
"Red" "White"
"Red" "Red"
"White" "Red"
"White" "White"
"White" "Black"
"White" "White"
"Red" "Red"
"White" "Red"
"White" "White"
"Red" "White"
"White" "White"
"White" "Red"
"Black" "Red"
"White" "Black"
"Black" "White"
"Red" "Red"
"Red" "Red"
"Black" "Red"
"Black" "White"
"White" "Red"
"Red" "Red"
"Red" "Red"
"White" "White"
"Black" "Black"
"Red" "White"
"White" "White"
"Black" "Black"
"Red" "White"
"White" "Red"
"Red" "White"
"Red" "White"
"Black" "Red"
"Black" "Black"
"White" "White"
"Red" "Red"
"Black" "Red"
"White" "White"
"White" "White"
"Black" "White"
"Red" "Red"
