"Year" "Typhoons" "N3.m01" "N3.m02" "N3.m03" "N3.m04" "N3.m05" "N3.m06" "N3.m07" "N3.m08" "N3.m09" "N3.m10" "N3.m11" "N3.m12"
1959 17 1.455 1.123 0.604 0.387 0.56 0.331 0.228 0.156 -0.002 -0.021 0.147 0.166
1960 19 -0.01 -0.028 -0.102 0.356 0.362 -0.042 -0.392 -0.53 -0.256 0.05 -0.004 -0.04
1961 20 0.065 -0.123 0.226 0.056 -0.039 -0.289 -0.179 0.191 0.138 -0.523 -0.442 -0.351
1962 23 -0.346 0.123 0.027 0.53 0.348 0.633 -0.292 -0.647 -0.969 -0.677 -0.287 -0.089
1963 19 -0.235 -0.084 -0.432 -0.656 -0.465 -0.242 -0.155 -0.078 -0.409 -0.428 -0.6 -0.739
1964 26 -0.473 -0.328 0.06 0.288 0.453 0.591 0.957 1.028 0.902 1.026 0.813 1.148
1965 21 0.501 0.172 -0.368 -0.657 -1.066 -1.141 -0.843 -1.017 -0.8 -0.632 -0.818 -1.118
1966 20 -0.639 -0.199 -0.163 0.212 0.965 0.925 1.028 1.262 1.471 1.46 1.618 1.513
1967 20 1.334 0.78 0.223 0.24 -0.444 0.025 0.254 -0.146 -0.25 -0.109 -0.331 -0.488
1968 20 -0.291 -0.095 -0.287 -0.589 -0.21 0.104 -0.244 -0.759 -0.995 -0.92 -0.918 -0.871
1969 13 -1.018 -1.242 -1.086 -0.622 -0.575 0.093 0.595 0.433 0.362 0.3 0.562 0.692
1970 12 0.954 0.515 0.528 0.516 1.128 0.959 0.438 0.556 1.054 1.008 1.065 1.119
1971 24 1.108 0.645 0.309 0.245 -0.219 -0.76 -1.694 -1.713 -1.242 -1.113 -1.27 -1.647
1972 22 -1.531 -1.316 -1.174 -0.464 -0.675 -0.572 -0.373 -0.601 -0.573 -0.783 -0.849 -0.933
1973 12 -0.334 -0.199 -0.026 0.42 0.834 1.062 1.456 1.941 1.84 2.044 2.29 2.321
1974 16 1.636 1.265 0.786 0.103 -0.886 -0.963 -1.039 -1.4 -1.242 -1.425 -1.562 -1.525
1975 14 -1.395 -1.156 -0.442 -0.285 0.125 0.264 -0.091 0.078 -0.299 -0.224 -0.55 -0.407
1976 14 -0.198 -0.396 -0.4 -0.043 -0.449 -0.857 -0.813 -0.503 -0.842 -1.101 -1.128 -1.465
1977 11 -1.74 -1.041 -0.25 -0.052 0.164 0.746 0.673 1.182 1.215 1.315 1.124 1.025
1978 15 1.211 0.699 0.584 -0.245 0.31 0.328 0.091 -0.371 -0.055 0.392 0.621 0.456
1979 14 0.59 0.288 0.05 -0.483 -0.282 -0.651 -0.67 -0.762 -0.5 -0.328 -0.045 0.244
1980 15 -0.114 0.006 0.244 0.459 0.552 0.488 0.099 0.516 1.07 0.553 0.342 0.552
1981 16 0.462 0.263 0.143 0.294 0.391 0.575 0.012 -0.078 -0.148 -0.338 0.181 0.497
1982 19 -0.525 -0.601 -0.235 -0.513 -0.035 0.008 -0.384 -0.607 -0.079 0.055 -0.139 0.246
1983 12 0.479 0.193 0.049 0.447 1.046 1.211 0.9 1.262 1.899 2.36 2.72 3.343
1984 16 3.444 2.879 2.217 1.971 2.329 2.062 1.357 1.188 0.768 0.071 -0.299 -0.274
1985 17 -0.49 -0.093 0.105 0.098 -0.184 -0.683 -0.495 -0.355 -0.161 -0.552 -0.585 -1.073
1986 19 -0.798 -0.988 -0.698 -0.49 -0.457 -0.634 -0.695 -0.621 -0.532 -0.537 -0.514 -0.543
1987 18 -0.677 -0.403 -0.108 -0.016 0.036 0.058 0.144 0.2 0.731 0.831 1.113 1.033
1988 13 1.207 1.237 1.319 1.291 1.466 1.45 1.562 1.671 1.973 1.563 1.411 1.312
1989 21 0.77 0.431 0.342 -0.255 -0.965 -1.568 -1.693 -1.452 -0.899 -1.339 -1.521 -1.567
1990 21 -1.299 -0.647 -0.829 -0.429 -0.192 -0.092 -0.137 -0.279 -0.144 -0.128 -0.133 -0.162
1991 20 -0.154 0.156 0.12 0.493 0.621 0.308 0.03 0.191 0.315 0.185 0.098 0.224
1992 23 0.279 0.168 0.215 0.232 0.925 1.199 1.077 0.655 0.454 0.903 1.287 1.559
1993 21 1.562 1.454 1.368 1.581 1.657 0.727 0.244 -0.024 -0.018 -0.04 -0.008 0.049
1994 20 0.033 0.35 0.583 1.173 1.404 0.824 0.387 0.241 0.452 0.529 0.39 0.413
1995 14 0.274 -0.088 0.002 -0.069 0.388 0.314 -0.201 -0.146 0.268 0.759 1.046 1.129
1996 21 0.938 0.684 0.234 0.014 -0.122 0.011 -0.055 -0.373 -0.415 -0.571 -0.702 -0.645
1997 23 -0.54 -0.481 -0.103 -0.372 -0.329 -0.238 -0.132 -0.164 -0.165 -0.205 -0.254 -0.617
1998 9 -0.61 -0.304 0.171 0.6 1.449 1.983 2.409 2.916 3.122 3.308 3.548 3.725
1999 11 3.43 2.762 2.23 1.896 1.568 0.196 -0.023 0.079 -0.127 -0.424 -0.451 -0.768
2000 14 -0.836 -0.522 -0.149 -0.431 -0.085 -0.396 -0.494 -0.633 -0.711 -0.809 -1.139 -1.251
